country,city,geogCity,geogCountry
Finland,Helsinki,POINT (24.932180499999998 60.1775092),"POLYGON ((28.59193 69.064777, 29.015573000000003 69.766491, 27.732292000000005 70.164193, 26.179622000000002 69.825299, 25.689213000000002 69.092114, 24.735679 68.649557, 23.662050000000004 68.891248, 22.356238 68.841741, 21.244936 69.370443, 20.645592999999998 69.106247, 21.978535000000004 68.616846, 23.539472999999997 67.936009, 23.56588 66.396051, 23.903379 66.006927, 25.294043 65.534346, 25.398068 65.111426, 24.730511 64.902344, 22.442744 63.81781, 21.536030000000004 63.189735, 21.059210999999998 62.60739300000001, 21.544866 61.70533, 21.322244 60.720169999999996, 22.290763999999996 60.39192100000001, 22.869695 59.846373, 24.496624 60.057316, 26.255173000000003 60.423961, 28.069998 60.503517, 30.211107 61.78002800000001, 31.139991 62.357693000000005, 31.516092000000004 62.867687, 30.035872 63.552814, 30.444685000000003 64.204453, 29.54443 64.948672, 30.21765 65.80598, 29.054589000000004 66.944286, 29.977426000000005 67.698297, 28.445944000000004 68.364613, 28.59193 69.064777))"
Norway,Oslo,POINT (10.7480333 59.9186361),"MULTIPOLYGON (((28.165547 71.185474, 26.37005 70.986262, 24.546542999999996 71.030497, 23.023742000000002 70.202072, 21.378416 70.255169, 19.184028 69.817444, 16.435927 68.563206, 14.761146 67.810642, 12.358347 65.879726, 10.527709 64.486038, 8.553411 63.45400800000001, 5.9129 62.614473000000004, 4.992078000000001 61.970998, 5.308235000000001 59.663232, 5.665835000000001 58.588155, 7.048748 58.078884, 8.382 58.31328900000001, 10.356557 59.469807, 11.027368999999998 58.856149, 11.468272 59.432393000000005, 12.300366 60.117932999999994, 12.631147000000002 61.29357199999999, 11.992064 61.80036200000001, 11.930569 63.12831800000001, 12.579935 64.066219, 13.571916 64.049114, 13.919905 64.445421, 13.55569 64.787028, 15.108412000000001 66.193867, 16.108712 67.302456, 16.768878999999995 68.013937, 17.729182 68.010552, 17.993868 68.567391, 19.87856 68.407194, 20.025269000000005 69.065139, 20.645592999999998 69.106247, 21.244936 69.370443, 22.356238 68.841741, 23.662050000000004 68.891248, 24.735679 68.649557, 25.689213000000002 69.092114, 26.179622000000002 69.825299, 27.732292000000005 70.164193, 29.015573000000003 69.766491, 28.59193 69.064777, 29.399581 69.156916, 31.101079 69.55808, 30.005435 70.186259, 31.293418 70.453788, 28.165547 71.185474)), ((24.72412 77.85385, 23.28134 78.07954, 22.88426 78.45494, 20.811900000000005 78.25463, 21.416109999999996 77.93504, 20.726009999999995 77.67704, 22.490319999999997 77.44493, 24.72412 77.85385)), ((18.25183 79.70175, 16.99085 80.05086, 15.522549999999999 80.01608, 15.142820000000006 79.67431000000002, 13.718520000000002 79.66039, 13.17077 80.01046, 10.444530000000002 79.65239, 11.22231 78.8693, 13.1706 78.02493, 14.66956 77.73565, 13.762589999999998 77.38035, 15.91315 76.77045, 17.118199999999998 76.80941, 17.59441 77.63796, 18.47172 77.82669, 19.02737 78.5626, 21.54383 78.95611, 18.25183 79.70175)), ((25.447625 80.40734, 22.919253 80.657144, 21.907945 80.357679, 20.455992 80.59815600000002, 17.368015 80.318896, 18.462264 79.85988, 19.897267 79.842362, 20.075188 79.566823, 23.024466 79.400012, 25.924651 79.517834, 27.407506 80.056406, 25.447625 80.40734)))"
Sweden,Stockholm,POINT (18.0953889 59.3527058),"POLYGON ((22.183174000000005 65.723741, 23.903379 66.006927, 23.56588 66.396051, 23.539472999999997 67.936009, 21.978535000000004 68.616846, 20.645592999999998 69.106247, 20.025269000000005 69.065139, 19.87856 68.407194, 17.993868 68.567391, 17.729182 68.010552, 16.768878999999995 68.013937, 16.108712 67.302456, 15.108412000000001 66.193867, 13.55569 64.787028, 13.919905 64.445421, 13.571916 64.049114, 12.579935 64.066219, 11.930569 63.12831800000001, 11.992064 61.80036200000001, 12.631147000000002 61.29357199999999, 12.300366 60.117932999999994, 11.468272 59.432393000000005, 11.027368999999998 58.856149, 11.787942 57.441817, 12.625101000000003 56.30708, 12.942911000000002 55.361737, 14.100721 55.40778100000001, 14.666681 56.20088500000001, 15.879785999999996 56.104302, 16.44771 57.041118000000004, 16.829185000000003 58.719827000000016, 17.869225 58.953766, 18.787722 60.081914000000005, 17.831346 60.63658300000001, 17.119555 61.34116600000001, 17.847779 62.749399999999994, 19.778876000000004 63.609554, 21.369631000000002 64.413588, 21.213517000000003 65.026005, 22.183174000000005 65.723741))"
